TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
55513.000000,0.988,-0.016,-0.172,0.05,0.12,-0.02,-42.13,0.50,-25.00,-99.90,-0.81,97.12,0.422,0.571,-0.510,0.486
55523.000000,0.990,-0.013,-0.172,0.05,0.04,-0.00,-42.31,0.50,-24.92,-99.90,-0.81,97.12,0.422,0.571,-0.510,0.486
55533.000000,0.989,-0.016,-0.171,0.03,0.06,-0.02,-42.39,0.31,-25.08,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55543.000000,0.989,-0.013,-0.171,-0.03,0.10,0.04,-42.31,0.13,-25.13,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55553.000000,0.988,-0.012,-0.171,0.01,0.02,-0.02,-42.73,0.73,-25.46,-99.90,-0.81,97.12,0.422,0.571,-0.510,0.486
55563.000000,0.988,-0.015,-0.172,-0.01,-0.08,-0.02,-42.77,0.63,-25.13,-99.90,-0.81,97.12,0.422,0.571,-0.510,0.486
55573.000000,0.988,-0.013,-0.175,0.07,-0.04,-0.00,-42.96,0.17,-25.29,-99.90,-0.81,97.12,0.422,0.571,-0.510,0.486
55583.000000,0.986,-0.015,-0.174,0.07,-0.02,0.02,-43.04,0.39,-25.50,-99.90,-0.81,97.12,0.422,0.571,-0.510,0.486
55593.000000,0.989,-0.016,-0.171,0.05,0.08,-0.00,-42.85,0.31,-25.21,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55603.000000,0.988,-0.013,-0.175,0.07,0.02,-0.00,-42.21,0.50,-25.29,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55613.000000,0.989,-0.015,-0.172,0.03,-0.04,0.02,-42.58,0.27,-25.33,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55623.000000,0.990,-0.011,-0.171,0.07,0.23,-0.00,-42.77,0.27,-25.21,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55633.000000,0.993,-0.016,-0.175,0.01,0.08,-0.00,-42.73,0.77,-25.21,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55643.000000,0.992,-0.012,-0.171,0.03,0.04,-0.17,-42.31,0.39,-25.42,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55653.000000,0.988,-0.012,-0.174,-0.01,0.00,-0.00,-42.54,0.58,-25.17,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55663.000000,0.990,-0.013,-0.174,0.13,0.02,-0.02,-43.08,0.58,-25.25,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55673.000000,0.989,-0.015,-0.171,0.09,0.06,0.02,-42.81,0.39,-24.67,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55683.000000,0.990,-0.012,-0.172,0.07,0.02,-0.02,-42.35,1.04,-25.25,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
