seq,orientation,angular velocity,linear acceleration,secs,nsecs
1105237,"(0.014742139726877213, -0.19084613025188446, -0.896071195602417, 0.400519996881485)","(0.033455975353717804, -0.0037450718227773905, 0.004627244547009468)","(0.0001495361328125, -0.019738769531250002, 0.09615173339843751)",1624955780,691685438
1105238,"(0.014743134379386902, -0.19083920121192932, -0.896072506904602, 0.4005202651023865)","(0.016944369301199913, -0.0005492772324942052, 0.0030293469317257404)","(-0.018841552734375003, -0.02452392578125, 0.0243743896484375)",1624955780,696815729
1105239,"(0.014713231474161148, -0.19078855216503143, -0.8960731625556946, 0.4005439877510071)","(-0.025133593007922173, 0.0047770473174750805, 0.009420935995876789)","(0.06220703125, 0.014953613281250002, 0.0478515625)",1624955780,701721191
1105240,"(0.01471701730042696, -0.19074101746082306, -0.8960719704627991, 0.40056923031806946)","(-0.019807269796729088, 0.009570739232003689, 0.011018834076821804)","(-0.028411865234375003, 0.0348419189453125, 0.05233764648437501)",1624955780,706860065
1105241,"(0.014727365225553513, -0.19072404503822327, -0.8960757255554199, 0.4005684554576874)","(-0.0006325010326690972, -0.0021471744403243065, 0.005159876774996519)","(-0.0710296630859375, -0.012710571289062502, 0.1383209228515625)",1624955780,711770057
1105242,"(0.014718810096383095, -0.19071245193481445, -0.8960773348808289, 0.4005707800388336)","(0.0030959260184317827, -0.007473499048501253, -0.0017643449828028679)","(0.02452392578125, -0.04605712890625, 0.08553466796875)",1624955780,716824531
1105243,"(0.014694904908537865, -0.190677672624588, -0.8960821032524109, 0.4005774259567261)","(0.013215942308306694, -0.00907139666378498, 0.0008988172630779445)","(0.06265563964843751, -0.15043334960937502, 0.214434814453125)",1624955780,721790790
1105244,"(0.014705919660627842, -0.19069136679172516, -0.8960803151130676, 0.4005745053291321)","(0.006824353244155645, -0.0021471744403243065, -0.006558036897331476)","(-0.01854248046875, 0.10751647949218751, 0.032748413085937504)",1624955780,726719141
1105245,"(0.014718211255967617, -0.19068017601966858, -0.8960831761360168, 0.4005729854106903)","(0.012150677852332592, 0.0031791499350219965, 0.0019640822429209948)","(-0.075665283203125, -0.002392578125, 0.0758148193359375)",1624955780,731745243
1105246,"(0.014755011536180973, -0.19064994156360626, -0.8960911631584167, 0.4005682170391083)","(-0.0032956632785499096, -0.0021471744403243065, -0.005492771975696087)","(-0.15611572265625, -0.016448974609375, 0.0228790283203125)",1624955780,736836433
1105247,"(0.014742354862391949, -0.19064630568027496, -0.8960909843444824, 0.4005707800388336)","(-0.011285149492323399, 0.00903810653835535, -0.0070906695909798145)","(0.073272705078125, 0.0171966552734375, 0.16643371582031252)",1624955780,741722345
1105248,"(0.01473438274115324, -0.1906409114599228, -0.8960914611816406, 0.40057259798049927)","(-0.008089355193078518, 0.010103371925652027, -0.0017643449828028679)","(0.039776611328125, -0.0017944335937500001, 0.1137969970703125)",1624955780,746824502
1105249,"(0.014728259295225143, -0.1906408667564392, -0.896091103553772, 0.40057373046875)","(0.013748575001955032, 0.0010486200917512178, 0.005159876774996519)","(0.030056762695312503, -0.006579589843750001, 0.018093872070312503)",1624955780,753074645
1105250,"(0.014728379435837269, -0.19063659012317657, -0.896091878414154, 0.4005739688873291)","(0.004693823400884867, 0.006907577160745859, -0.0028296099044382572)","(-0.0082244873046875, -0.011364746093750001, 0.0275146484375)",1624955780,756732463
1105251,"(0.014731968753039837, -0.190633624792099, -0.8960926532745361, 0.4005734920501709)","(0.012150677852332592, 0.002113885013386607, 0.00036618480226024985)","(-0.008074951171875, 0.041421508789062506, 0.12800292968750002)",1624955780,761902570
1105252,"(0.014722916297614574, -0.1906375139951706, -0.8960913419723511, 0.4005749225616455)","(-9.986858640331775e-05, -1.6644764400552958e-05, 0.008355671539902687)","(0.06340332031250001, 0.0366363525390625, 0.0945068359375)",1624955780,766827583
1105253,"(0.014728539623320103, -0.1906289905309677, -0.8960932493209839, 0.4005744457244873)","(-0.005426193121820688, 0.002113885013386607, 0.009953568689525127)","(-0.055926513671875004, -0.0542816162109375, -0.058618164062500006)",1624955780,771744966
1105254,"(0.01474613044410944, -0.1906096488237381, -0.8960979580879211, 0.4005724787712097)","(-0.007556722965091467, 0.0047770473174750805, 0.008888304233551025)","(-0.12247009277343751, 0.022579956054687503, 0.08957214355468751)",1624955780,776825189
1105255,"(0.014744503423571587, -0.19059249758720398, -0.8961009979248047, 0.4005739092826843)","(-0.0032956632785499096, -1.6644764400552958e-05, 0.0019640822429209948)","(-0.012411499023437501, -0.0345428466796875, 0.151629638671875)",1624955780,792093992
1105256,"(0.014744503423571587, -0.19059249758720398, -0.8961009979248047, 0.4005739092826843)","(-0.0032956632785499096, -1.6644764400552958e-05, 0.0019640822429209948)","(-0.012411499023437501, -0.0345428466796875, 0.151629638671875)",1624955780,792395114
1105257,"(0.014744503423571587, -0.19059249758720398, -0.8961009979248047, 0.4005739092826843)","(-0.0032956632785499096, -1.6644764400552958e-05, 0.0019640822429209948)","(-0.012411499023437501, -0.0345428466796875, 0.151629638671875)",1624955780,792721748
1105258,"(0.014742407016456127, -0.19058941304683685, -0.8961014747619629, 0.4005744755268097)","(-0.0016977658960968256, -1.6644764400552958e-05, -0.0038948748260736465)","(-0.0554779052734375, 0.0659454345703125, 0.142059326171875)",1624955780,796833992
1105259,"(0.01474284753203392, -0.1906011998653412, -0.896099328994751, 0.40057361125946045)","(-0.0022303983569145203, -0.003212439361959696, -0.0070906695909798145)","(0.021084594726562503, 0.0562255859375, -0.0157012939453125)",1624955780,801761865
1105260,"(0.01473795436322689, -0.19060415029525757, -0.8960984349250793, 0.40057432651519775)","(0.004161191172897816, 0.0053096795454621315, 0.006757774390280247)","(0.04007568359375, 0.0370849609375, 0.0847869873046875)",1624955780,806819677
1105261,"(0.014758868142962456, -0.1905868500471115, -0.896103024482727, 0.4005716145038605)","(-0.005426193121820688, -0.002679806901142001, 0.003561979392543435)","(-0.11738586425781251, 0.022729492187500002, 0.175555419921875)",1624955780,811772584
