seq,orientation,angular velocity,linear acceleration,secs,nsecs
1092914,"(0.045500244945287704, -0.09964645653963089, -0.7287743091583252, 0.6759267449378967)","(0.00552606163546443, 0.008771790191531181, 0.005825667176395655)","(0.11947937011718751, 0.057870483398437506, -0.21697692871093752)",1624948027,892050743
1092915,"(0.04549677297472954, -0.09965244680643082, -0.7287735939025879, 0.675926923751831)","(-0.00033289528801105917, 0.00397809874266386, 0.007423564791679382)","(0.028411865234375003, -0.004336547851562501, -0.0638519287109375)",1624948027,897109508
1092916,"(0.04551305994391441, -0.09966888278722763, -0.7287724018096924, 0.6759246587753296)","(-0.0013981601223349571, 0.0023802013602107763, -0.008022775873541832)","(-0.009869384765625001, 0.10527343750000001, -0.073272705078125)",1624948027,902605772
1092917,"(0.04551612585783005, -0.09967456758022308, -0.7287719249725342, 0.6759241223335266)","(-0.005126587115228176, -0.013066140003502369, 0.0004993429174646735)","(0.009271240234375, 0.0381317138671875, 0.032000732421875004)",1624948027,907100915
1092918,"(0.04549802467226982, -0.09966877847909927, -0.7287719249725342, 0.6759262084960938)","(-0.0024634250439703465, -0.019990362226963043, -3.3289528801105917e-05)","(0.05682373046875001, -0.0572723388671875, 0.151629638671875)",1624948027,912162542
1092919,"(0.045448992401361465, -0.09968066215515137, -0.7287789583206177, 0.6759201884269714)","(-0.008855014108121395, -0.023718789219856262, -0.0010985544649884105)","(-0.0252716064453125, 0.02452392578125, 0.256903076171875)",1624948027,917102098
1092920,"(0.045447926968336105, -0.09963013231754303, -0.7287842035293579, 0.6759220361709595)","(-0.002996057504788041, -0.007207182701677084, -0.004826981574296951)","(-0.1251617431640625, -0.0512908935546875, 0.28531494140625)",1624948027,922116518
1092921,"(0.04545053094625473, -0.09963934868574142, -0.728783369064331, 0.6759214401245117)","(-0.006724484730511904, -0.004544020630419254, -3.3289528801105917e-05)","(0.027963256835937502, 0.06340332031250001, 0.09405822753906251)",1624948027,937236070
1092922,"(0.04545053094625473, -0.09963934868574142, -0.728783369064331, 0.6759214401245117)","(-0.006724484730511904, -0.004544020630419254, -3.3289528801105917e-05)","(0.027963256835937502, 0.06340332031250001, 0.09405822753906251)",1624948027,937695741
1092923,"(0.04545053094625473, -0.09963934868574142, -0.728783369064331, 0.6759214401245117)","(-0.006724484730511904, -0.004544020630419254, -3.3289528801105917e-05)","(0.027963256835937502, 0.06340332031250001, 0.09405822753906251)",1624948027,938012361
1092924,"(0.04546681419014931, -0.09965061396360397, -0.7287827134132385, 0.6759193539619446)","(0.0028628993313759565, 0.020489703863859177, 0.005293034948408604)","(0.032748413085937504, 0.09645080566406251, -0.10213317871093751)",1624948027,942089319
1092925,"(0.04547475278377533, -0.09966600686311722, -0.7287814021110535, 0.6759179830551147)","(0.008721856400370598, 0.012500218115746975, 0.003162505105137825)","(0.0183929443359375, 0.07222595214843751, -0.06848754882812501)",1624948027,947062492
